Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,
86*,186,125,11,1,68.8,4,not out,4,,v New Zealand,Leeds,23-Jun-22,Test # 2467
31,92,67,4,0,46.26,4,caught,2,,v India,Birmingham,01-Jul-22,Test # 2470
142*,240,173,19,1,82.08,4,not out,4,,v India,Birmingham,01-Jul-22,Test # 2470
8,26,17,1,0,47.05,4,lbw,1,,v South Africa,Lord's,17-Aug-22,Test # 2474
6,26,10,0,0,60,4,caught,3,,v South Africa,Lord's,17-Aug-22,Test # 2474
9,17,15,1,0,60,4,caught,2,,v South Africa,Manchester,25-Aug-22,Test # 2475
23,36,25,3,0,92,4,caught,2,,v South Africa,The Oval,08-Sep-22,Test # 2476
DNB,-,-,-,-,-,-,-,4,,v South Africa,The Oval,08-Sep-22,Test # 2476
23,42,31,3,0,74.19,4,lbw,1,,v Pakistan,Rawalpindi,01-Dec-22,Test # 2478
73,102,69,6,0,105.79,4,caught,3,,v Pakistan,Rawalpindi,01-Dec-22,Test # 2478
8,23,11,0,0,72.72,4,lbw,1,,v Pakistan,Multan,09-Dec-22,Test # 2480
21,60,35,2,0,60,4,caught,3,,v Pakistan,Multan,09-Dec-22,Test # 2480
0,4,1,0,0,0,4,caught,2,,v Pakistan,Karachi,17-Dec-22,Test # 2483
DNB,-,-,-,-,-,-,-,4,,v Pakistan,Karachi,17-Dec-22,Test # 2483
14,42,22,2,0,63.63,4,caught,1,,v New Zealand,Mount Maunganui,16-Feb-23,Test # 2492
57,110,62,5,1,91.93,5,caught,3,,v New Zealand,Mount Maunganui,16-Feb-23,Test # 2492
153*,376,224,10,3,68.3,4,not out,1,,v New Zealand,Wellington,24-Feb-23,Test # 2494
95,183,113,8,3,84.07,5,caught,4,,v New Zealand,Wellington,24-Feb-23,Test # 2494
56,86,59,4,1,94.91,4,bowled,2,,v Ireland,Lord's,01-Jun-23,Test # 2504
DNB,-,-,-,-,-,-,-,4,,v Ireland,Lord's,01-Jun-23,Test # 2504
118*,269,152,7,4,77.63,4,not out,1,,v Australia,Birmingham,16-Jun-23,Test # 2507
46,79,55,5,1,83.63,4,stumped,3,,v Australia,Birmingham,16-Jun-23,Test # 2507
10,39,19,0,0,52.63,4,caught,2,,v Australia,Lord's,28-Jun-23,Test # 2508
18,40,35,2,0,51.42,4,caught,4,,v Australia,Lord's,28-Jun-23,Test # 2508
19,66,45,2,0,42.22,4,caught,2,,v Australia,Leeds,06-Jul-23,Test # 2509
21,72,33,3,0,63.63,4,caught,4,,v Australia,Leeds,06-Jul-23,Test # 2509
84,163,95,8,1,88.42,4,bowled,2,,v Australia,Manchester,19-Jul-23,Test # 2512
5,12,11,1,0,45.45,4,bowled,1,,v Australia,The Oval,27-Jul-23,Test # 2515
91,174,106,11,1,85.84,4,bowled,3,,v Australia,The Oval,27-Jul-23,Test # 2515
29,81,60,1,0,48.33,4,caught,1,,v India,Hyderabad,25-Jan-24,Test # 2525
2,13,6,0,0,33.33,4,lbw,3,,v India,Hyderabad,25-Jan-24,Test # 2525
5,15,10,1,0,50,4,caught,2,,v India,Visakhapatnam,02-Feb-24,Test # 2526
16,11,10,2,1,160,5,caught,4,,v India,Visakhapatnam,02-Feb-24,Test # 2526
18,50,31,2,0,58.06,4,caught,2,,v India,Rajkot,15-Feb-24,Test # 2530
7,61,40,1,0,17.5,4,lbw,4,,v India,Rajkot,15-Feb-24,Test # 2530
122*,362,274,10,0,44.52,4,not out,1,,v India,Ranchi,23-Feb-24,Test # 2531
11,36,34,0,0,32.35,4,lbw,3,,v India,Ranchi,23-Feb-24,Test # 2531
26,82,56,4,0,46.42,4,lbw,1,,v India,Dharamsala,07-Mar-24,Test # 2534
84,175,128,12,0,65.62,4,caught,3,,v India,Dharamsala,07-Mar-24,Test # 2534
68,178,114,7,0,59.64,4,bowled,2,,v West Indies,Lord's,10-Jul-24,Test # 2538
14,46,29,2,0,48.27,4,caught,1,,v West Indies,Nottingham,18-Jul-24,Test # 2539
122,306,178,10,0,68.53,4,caught,3,,v West Indies,Nottingham,18-Jul-24,Test # 2539
87,194,124,7,0,70.16,5,lbw,2,,v West Indies,Birmingham,26-Jul-24,Test # 2541
DNB,-,-,-,-,-,-,-,4,,v West Indies,Birmingham,26-Jul-24,Test # 2541
42,84,57,4,0,73.68,4,caught,2,,v Sri Lanka,Manchester,21-Aug-24,Test # 2545
62*,183,128,2,0,48.43,4,not out,4,,v Sri Lanka,Manchester,21-Aug-24,Test # 2545
143,283,206,18,0,69.41,4,caught,1,,v Sri Lanka,Lord's,29-Aug-24,Test # 2546
103,192,121,10,0,85.12,4,caught,3,,v Sri Lanka,Lord's,29-Aug-24,Test # 2546
13,55,48,1,0,27.08,4,caught,1,,v Sri Lanka,The Oval,06-Sep-24,Test # 2548
12,34,18,2,0,66.66,4,lbw,3,,v Sri Lanka,The Oval,06-Sep-24,Test # 2548
